event_id,user_id,product_id,event_type,event_time,session_duration
E_0107,U_044,P_005,view,2025-12-12 17:00:03,6.8
E_0093,U_009,P_031,view,2025-12-12 23:50:49,8.67
E_0045,U_016,P_043,view,2025-12-12 23:52:17,17.8
E_0189,U_023,P_001,view,2025-12-13 02:19:33,40.02
E_0080,U_012,P_017,view,2025-12-13 03:42:24,18.4
E_0161,U_043,P_001,view,2025-12-13 14:48:34,10.43
E_0111,U_002,P_023,view,2025-12-15 18:28:09,0.94
E_0123,U_015,P_016,view,2025-12-17 10:50:47,17.29
E_0024,U_007,P_064,view,2025-12-18 04:13:44,2.68
E_0178,U_003,P_035,view,2025-12-18 04:46:07,4.36
E_0180,U_012,P_018,view,2025-12-18 09:38:00,3.75
E_0112,U_029,P_070,view,2025-12-19 10:09:31,4.22
E_0239,U_004,P_032,view,2025-12-20 05:04:51,12.79
E_0099,U_017,P_070,view,2025-12-20 16:16:30,17.4
E_0047,U_001,P_028,view,2025-12-20 18:42:55,8.01
E_0227,U_026,P_022,view,2025-12-21 10:13:46,7.88
E_0217,U_016,P_010,click,2025-12-24 19:42:22,33.88
E_0052,U_020,P_040,click,2025-12-25 05:31:02,2.83
E_0104,U_016,P_004,view,2025-12-26 06:24:43,2.18
E_0083,U_020,P_035,click,2025-12-26 12:10:31,28.07
E_0211,U_034,P_011,click,2025-12-26 15:12:23,6.96
E_0223,U_044,P_074,click,2025-12-26 21:03:22,8.38
E_0102,U_026,P_058,view,2025-12-27 11:39:50,0.87
E_0226,U_045,P_047,view,2025-12-28 00:19:11,1.57
E_0171,U_041,P_036,view,2025-12-28 12:35:06,12.76
E_0142,U_022,P_063,click,2025-12-29 17:10:33,3.64
E_0213,U_020,P_061,click,2025-12-30 02:44:31,37.47
E_0243,U_033,P_021,view,2025-12-30 13:19:08,6.89
E_0056,U_012,P_030,view,2025-12-31 19:00:31,1.13
E_0194,U_019,P_039,view,2025-12-31 19:41:04,4.88
E_0209,U_018,P_047,view,2025-12-31 21:54:21,2.26
E_0078,U_035,P_017,view,2026-01-01 00:24:21,6.25
E_0085,U_011,P_003,view,2026-01-01 18:59:06,4.34
E_0075,U_019,P_074,view,2026-01-01 20:46:50,2.5
E_0230,U_034,P_017,view,2026-01-04 03:34:49,7.67
E_0215,U_017,P_032,click,2026-01-05 16:14:42,45.0
E_0177,U_038,P_065,view,2026-01-06 11:37:23,1.18
E_0208,U_045,P_042,click,2026-01-07 05:41:14,2.02
E_0184,U_020,P_053,view,2026-01-07 14:32:25,18.96
E_0158,U_013,P_012,view,2026-01-08 00:11:34,10.16
E_0126,U_014,P_001,view,2026-01-08 12:58:20,13.99
E_0240,U_011,P_046,view,2026-01-09 04:10:51,6.61
E_0015,U_045,P_049,click,2026-01-10 18:31:46,4.85
E_0114,U_024,P_070,view,2026-01-12 03:52:33,4.57
E_0193,U_018,P_070,click,2026-01-13 06:02:14,1.63
E_0095,U_025,P_002,view,2026-01-14 12:59:53,1.98
E_0170,U_043,P_044,view,2026-01-14 19:03:09,10.14
E_0181,U_045,P_055,click,2026-01-15 08:55:08,42.37
E_0149,U_044,P_054,view,2026-01-16 08:31:25,7.5
E_0007,U_011,P_047,view,2026-01-16 14:17:33,3.93
E_0145,U_027,P_062,view,2026-01-17 23:01:25,3.24
E_0205,U_002,P_003,view,2026-01-20 10:47:24,5.66
E_0143,U_007,P_015,view,2026-01-20 14:47:54,2.76
E_0137,U_035,P_039,view,2026-01-22 09:20:32,17.69
E_0098,U_030,P_030,view,2026-01-22 12:14:31,1.1
E_0042,U_028,P_059,view,2026-01-26 04:17:07,2.46
E_0221,U_041,P_075,view,2026-01-26 05:53:24,5.57
E_0164,U_041,P_036,view,2026-01-27 13:32:50,5.89
E_0255,U_021,P_004,view,2026-01-28 02:56:19,11.28
E_0198,U_044,P_065,view,2026-01-28 14:16:53,2.43
E_0044,U_014,P_043,click,2026-01-30 14:59:40,11.23
E_0081,U_031,P_002,view,2026-02-01 16:59:29,3.74
E_0176,U_028,P_024,view,2026-02-02 17:58:19,3.71
E_0257,U_028,P_004,view,2026-02-03 05:02:04,4.36
E_0183,U_008,P_038,view,2026-02-03 05:16:21,17.37
E_0039,U_007,P_007,click,2026-02-03 17:57:59,4.47
E_0216,U_019,P_030,view,2026-02-04 06:38:36,0.64
E_0014,U_004,P_020,view,2026-02-04 08:42:08,13.61
E_0069,U_013,P_042,view,2026-02-04 19:27:39,12.74
E_0224,U_039,P_014,click,2026-02-05 16:53:41,7.58
E_0150,U_041,P_062,view,2026-02-05 19:42:42,1.15
E_0035,U_014,P_020,view,2026-02-05 20:03:12,3.03
E_0002,U_030,P_059,view,2026-02-06 02:04:25,14.83
E_0214,U_045,P_056,view,2026-02-06 14:29:52,2.48
E_0009,U_030,P_025,view,2026-02-07 15:45:03,3.28
E_0159,U_026,P_006,view,2026-02-07 21:26:41,1.22
E_0155,U_031,P_004,view,2026-02-08 02:51:44,7.33
E_0253,U_033,P_003,view,2026-02-08 22:52:12,20.24
E_0074,U_019,P_003,view,2026-02-10 19:27:33,4.95
E_0220,U_017,P_005,view,2026-02-11 06:50:37,3.33
E_0022,U_044,P_071,view,2026-02-11 20:13:18,2.89
E_0048,U_039,P_074,click,2026-02-12 06:42:55,22.56
E_0122,U_036,P_073,click,2026-02-12 12:00:44,22.42
E_0008,U_041,P_038,click,2026-02-12 12:02:20,15.63
E_0131,U_003,P_010,view,2026-02-14 02:19:51,3.35
E_0139,U_033,P_014,view,2026-02-14 21:54:09,6.48
E_0229,U_002,P_073,view,2026-02-14 22:50:52,8.65
E_0006,U_043,P_017,view,2026-02-15 09:41:17,18.99
E_0206,U_009,P_059,view,2026-02-15 11:58:59,2.05
E_0192,U_022,P_041,click,2026-02-16 18:25:40,14.11
E_0202,U_014,P_021,view,2026-02-17 08:21:02,6.02
E_0195,U_026,P_067,view,2026-02-17 11:29:08,0.95
E_0101,U_013,P_002,view,2026-02-18 04:10:34,2.8
E_0232,U_032,P_051,view,2026-02-19 13:44:38,10.15
E_0130,U_007,P_001,view,2026-02-19 14:12:19,43.41
E_0233,U_034,P_067,view,2026-02-19 17:13:40,5.05
E_0028,U_019,P_020,view,2026-02-20 02:16:40,8.84
E_0020,U_041,P_060,view,2026-02-22 05:22:52,3.83
E_0046,U_012,P_064,view,2026-02-24 16:59:07,1.91
E_0252,U_009,P_037,click,2026-02-24 20:47:10,15.49
E_0084,U_016,P_068,click,2026-02-25 13:38:30,2.47
E_0088,U_016,P_010,view,2026-02-25 23:31:50,6.65
E_0169,U_043,P_048,view,2026-02-26 18:20:13,8.38
E_0025,U_023,P_074,view,2026-02-27 16:00:22,11.43
E_0231,U_043,P_073,view,2026-02-28 14:00:14,13.31
E_0010,U_015,P_070,view,2026-03-01 08:59:07,5.04
E_0166,U_007,P_012,view,2026-03-02 19:08:56,1.22
E_0001,U_011,P_006,view,2026-03-03 16:25:38,8.17
E_0236,U_025,P_075,click,2026-03-03 18:24:53,5.09
E_0250,U_006,P_032,view,2026-03-04 12:35:30,14.84
E_0059,U_039,P_018,view,2026-03-05 03:59:27,0.85
E_0037,U_001,P_071,view,2026-03-06 22:35:08,6.38
E_0036,U_045,P_042,view,2026-03-08 14:30:12,2.17
E_0049,U_026,P_048,view,2026-03-09 00:06:22,2.88
E_0118,U_036,P_071,view,2026-03-09 17:26:48,26.42
E_0256,U_014,P_075,click,2026-03-11 23:55:45,5.88
E_0060,U_003,P_042,view,2026-03-15 06:54:18,4.57
E_0117,U_025,P_071,view,2026-03-16 06:45:13,10.42
E_0092,U_011,P_037,click,2026-03-16 11:11:13,5.7
E_0212,U_038,P_015,view,2026-03-16 22:43:27,6.19
E_0063,U_038,P_073,click,2026-03-17 05:18:16,9.88
E_0182,U_043,P_051,view,2026-03-17 20:00:18,12.06
E_0235,U_001,P_041,click,2026-03-18 12:29:13,17.88
E_0196,U_025,P_034,view,2026-03-18 14:48:30,3.67
